library,n_terms,total_members,resolved_members,unresolved_members,match_rate,universe_size
ATC,308,3054,2417,637,0.7914210870988867,1670
CREEDS_Signature_Down,2532,29782,29782,0,1.0,72
CREEDS_Signature_Up,2535,29603,29603,0,1.0,71
DrugCentral_Target,540,10350,10031,319,0.9691787439613526,1425
Drug_Repurposing_Hub_Mechanism_of_Action,154,2060,1897,163,0.920873786407767,1686
Drug_Repurposing_Hub_Target,375,5841,5634,207,0.9645608628659477,1602
Geneshot_Associated,7503,283625,199483,84142,0.7033336271485235,2779
Geneshot_Predicted_Enrichr,11845,734799,529741,205058,0.7209332075846592,2779
Geneshot_Predicted_GeneRIF,9193,723077,522427,200650,0.7225053486696438,2779
Geneshot_Predicted_Tagger,13882,771849,556154,215695,0.7205476718891908,2779
Geneshot_Predicted_from_AutoRIF,11695,772329,556509,215820,0.7205595024918138,2779
Geneshot_Predicted_from_Co-expression,9087,717497,521266,196231,0.7265061735449765,2779
KinomeScan_Kinase,274,2702,2569,133,0.9507772020725389,52
L1000FWD_GO_Biological_Processes_Down,1067,53928,53464,464,0.991395935321169,3738
L1000FWD_GO_Cellular_Component_Down,157,15692,15539,153,0.9902498088197808,3062
L1000FWD_GO_Cellular_Component_Up,153,15409,15249,160,0.9896164579142059,3170
L1000FWD_GO_Molecular_Function_Down,158,7600,7531,69,0.9909210526315789,2048
L1000FWD_GO_Molecular_Function_Up,183,10324,10238,86,0.991669895389384,2294
L1000FWD_KEGG_Pathways_Down,236,20454,20311,143,0.9930087024542876,3101
L1000FWD_KEGG_Pathways_Up,245,29254,29004,250,0.9914541601148561,3419
L1000FWD_Predicted_Side_Effects,1005,92066,91120,946,0.9897247626702583,4480
L1000FWD_Signature_Down,7622,1052152,1042208,9944,0.9905488940761411,4505
L1000FWD_Signature_Up,7609,1078201,1067682,10519,0.9902439341087608,4505
PharmGKB_OFFSIDES_Side_Effects,7137,504739,381116,123623,0.7550753954023762,1072
PharmGKB_SNV,554,5555,4694,861,0.845004500450045,407
SIDER_Indications,867,18782,12561,6221,0.6687786178255777,1164
SIDER_Side_Effects,2078,155033,128760,26273,0.830532854295537,1227
STITCH_Target,9063,807126,278027,529099,0.34446542423363885,3842
